Feature,Importance
MedianIncome,0.12170858430859019
PriceIncomePercent,0.1046919451789602
CustomerValueRatio,0.09971588996009317
EngagementScore,0.07308956622182516
Log_Tenure,0.05117360296109225
Sqrt_Tenure,0.05072673473465908
Tenure,0.04339208117860098
HighRiskSegment,0.03630077107072428
Log_EstimatedLTV,0.03294838550857325
EstimatedLTV,0.02905928478327601
Log_ChargesMonthly,0.027103828464955508
HighRisk_ContractTenure,0.02687610476616278
AvgMonthlyValue,0.02442495257623636
ChargesMonthly,0.024094556239018072
PaymentMethod_Electronic check,0.022301338145586293
InternetService_Fiber optic,0.02149207233198574
PopulationDensity,0.021446229768531222
IncomePriceMismatch,0.020691134898640006
Contract_Two year,0.015915596041345525
TenureGroup_48+_months,0.013753886323470016
Borough_BROOKLYN,0.010064508004387733
Borough_MANHATTAN,0.008264903850608206
PaperlessBilling_Yes,0.007302654710306107
Sqrt_ServicesCount,0.007224128990754827
ServicesCount,0.007129164221059682
Borough_STATEN ISLAND,0.0069097605941403585
StreamingTV_No internet service,0.006294199692399364
StreamingMovies_No internet service,0.0058071892116244245
OnlineSecurity_No internet service,0.005366940341009315
Contract_One year,0.005358695934689027
OnlineSecurity_Yes,0.005316752075186347
TechSupport_Yes,0.0051171081095756415
InternetService_No,0.004849356007606543
SeniorCitizen,0.004585859420334094
MultipleLines_Yes,0.004030361493837899
Borough_QUEENS,0.0038581000487233267
TechSupport_No internet service,0.0037842049341378094
DeviceProtection_No internet service,0.0037703868701294717
OnlineBackup_No internet service,0.0037225478767721055
Gender_Male,0.003546103596903536
Partner_Yes,0.002728330341059742
MultipleLines_No phone service,0.0022654826206323087
DeviceProtection_Yes,0.0021009502654931907
PhoneService_Yes,0.00201157268225071
OnlineBackup_Yes,0.0019848058032619384
Dependents_Yes,0.0018047163014162843
PaymentMethod_Mailed check,0.0017513277180692523
StreamingTV_Yes,0.001705118637644488
StreamingMovies_Yes,0.0016950557039061389
TenureGroup_24-48_months,0.001573490701160496
PriceSegment_Premium,0.0015084314281039648
PriceSegment_Standard,0.0014476771266059042
PaymentMethod_Credit card (automatic),0.0013629004622454483
TenureGroup_12-24_months,0.001071003761885783
PriceSegment_Enterprise,0.0010178475898991069
MediumRisk_ContractTenure,0.000761817409853227
