Feature,Coefficient,Abs_Coefficient
MedianIncome,-0.7613258871841162,0.7613258871841162
Contract_Two year,-0.6357006725953245,0.6357006725953245
Borough_STATEN ISLAND,-0.35743194203683404,0.35743194203683404
InternetService_Fiber optic,0.2947499219137284,0.2947499219137284
Contract_One year,-0.28202841542127216,0.28202841542127216
Log_Tenure,-0.28011904393704873,0.28011904393704873
Log_EstimatedLTV,-0.2280891941592479,0.2280891941592479
MultipleLines_Yes,0.22077708529509482,0.22077708529509482
PaperlessBilling_Yes,0.2074798517732955,0.2074798517732955
Borough_MANHATTAN,-0.1922170320244538,0.1922170320244538
PriceIncomePercent,0.1899746807414704,0.1899746807414704
CustomerValueRatio,0.1899746807414702,0.1899746807414702
HighRisk_ContractTenure,0.1847752586949594,0.1847752586949594
PaymentMethod_Electronic check,0.1690287531374301,0.1690287531374301
OnlineSecurity_Yes,-0.16821701218680385,0.16821701218680385
Borough_QUEENS,-0.15507713012927468,0.15507713012927468
TechSupport_Yes,-0.13802835896568358,0.13802835896568358
EngagementScore,-0.1141492026406251,0.1141492026406251
StreamingMovies_Yes,0.10888247150617651,0.10888247150617651
Log_ChargesMonthly,-0.09063139654382736,0.09063139654382736
PhoneService_Yes,-0.08701253609735174,0.08701253609735174
MultipleLines_No phone service,0.08701253609735174,0.08701253609735174
StreamingTV_Yes,0.08067749056301646,0.08067749056301646
SeniorCitizen,0.07695443329174037,0.07695443329174037
Sqrt_Tenure,-0.06763164030201468,0.06763164030201468
PopulationDensity,0.051164359536481234,0.051164359536481234
HighRiskSegment,0.04860997862713689,0.04860997862713689
EstimatedLTV,-0.04764685978026745,0.04764685978026745
OnlineBackup_Yes,-0.04627916467458988,0.04627916467458988
IncomePriceMismatch,-0.04588025804077399,0.04588025804077399
OnlineSecurity_No internet service,-0.04481791774848964,0.04481791774848964
StreamingTV_No internet service,-0.04481791774848964,0.04481791774848964
TechSupport_No internet service,-0.04481791774848964,0.04481791774848964
DeviceProtection_No internet service,-0.04481791774848964,0.04481791774848964
StreamingMovies_No internet service,-0.04481791774848964,0.04481791774848964
OnlineBackup_No internet service,-0.04481791774848964,0.04481791774848964
InternetService_No,-0.04481791774848964,0.04481791774848964
TenureGroup_48+_months,-0.04439193282811272,0.04439193282811272
AvgMonthlyValue,-0.04211027967589515,0.04211027967589515
ChargesMonthly,0.03862724541371464,0.03862724541371464
Gender_Male,-0.03727376044778991,0.03727376044778991
MediumRisk_ContractTenure,0.035276458358539445,0.035276458358539445
PaymentMethod_Mailed check,-0.0312163557774106,0.0312163557774106
PriceSegment_Standard,0.03034577886997702,0.03034577886997702
TenureGroup_12-24_months,0.029046064309887664,0.029046064309887664
Borough_BROOKLYN,-0.028887804713978837,0.028887804713978837
PaymentMethod_Credit card (automatic),-0.028619442960063544,0.028619442960063544
Dependents_Yes,-0.027834011986125506,0.027834011986125506
PriceSegment_Premium,0.014144627606253402,0.014144627606253402
PriceSegment_Enterprise,-0.00809505711626029,0.00809505711626029
ServicesCount,0.00688220831800604,0.00688220831800604
Tenure,0.005201918169247411,0.005201918169247411
TenureGroup_24-48_months,0.0035411493701351295,0.0035411493701351295
Sqrt_ServicesCount,0.001750533569441785,0.001750533569441785
Partner_Yes,0.001662114985250178,0.001662114985250178
DeviceProtection_Yes,-0.0015316700623089286,0.0015316700623089286
